Cancel Date,Client code,Service,Service Price,Staff,Booking Date,Canceled By,Cancel Description,Days
2024-09-27,CUST683,PEDICURE,70,Jane Smith,2024-09-27,Emily Davis,Emergency closure,0
2024-06-15,CUST318,SKINCARE,70,Mei Ling,2024-03-30,Kunal Joshi,Staff unavailable,77
2024-08-05,CUST800,FACIAL,25,Yuki Tanaka,2024-08-05,Michael Brown,Staff unavailable,0
2024-08-09,CUST472,NAILART,85,Sarah Wilson,2024-08-09,Takeshi Yamada,Client no-show,0
2024-09-06,CUST381,BODYSCRUB,60,Michael Brown,2024-09-06,Ravi Kumar,Staff unavailable,0
2024-07-21,CUST968,MAKEUP,45,Anjali Singh,2024-07-21,John Doe,Client canceled,0
2024-07-07,CUST817,MANICURE,30,Kunal Joshi,2023-11-29,Ravi Kumar,Client no-show,221
2024-09-13,CUST219,HAIRCUT,50,John Doe,2024-03-16,John Doe,Staff unavailable,181
2023-12-19,CUST311,WAXING,50,Ravi Kumar,2023-12-19,Jane Smith,Rescheduled,0
2024-07-08,CUST520,MANICURE,45,Emily Davis,2024-07-08,Yuki Tanaka,Service issue,0
2024-05-08,CUST237,NAILART,60,Amit Patel,2024-02-11,Michael Brown,Staff unavailable,87
2024-10-09,CUST984,BODYSCRUB,50,Sarah Wilson,2024-07-24,John Doe,Client canceled,77
2024-09-25,CUST040,HAIRSTYLING,55,Sarah Wilson,2023-10-30,Li Wei,Double-booked,331
2024-07-28,CUST646,BODYSCRUB,35,Li Wei,2024-07-28,Priya Sharma,Staff unavailable,0
2024-09-16,CUST461,MASSAGE,30,Sarah Wilson,2024-06-26,Li Wei,Emergency closure,82
2024-05-03,CUST820,BODYSCRUB,15,John Doe,2024-05-03,Yuki Tanaka,Emergency closure,0
2024-04-05,CUST464,MASSAGE,50,John Doe,2024-04-05,Li Wei,Emergency closure,0
2024-03-13,CUST865,MAKEUP,25,Emily Davis,2024-03-13,Mei Ling,Double-booked,0
2023-12-20,CUST101,HAIRSTYLING,35,Takeshi Yamada,2023-12-20,Priya Sharma,Emergency closure,0
2024-04-04,CUST782,EYEBROWTHREADING,50,Priya Sharma,2024-02-23,Amit Patel,Rescheduled,41
2024-08-08,CUST832,NAILART,120,Anjali Singh,2024-08-08,Kunal Joshi,Staff unavailable,0
2024-06-25,CUST509,MASSAGE,55,Michael Brown,2024-04-25,John Doe,Emergency closure,61
2024-07-02,CUST080,HAIRCUT,35,Sarah Wilson,2024-07-02,John Doe,Client no-show,0
2024-09-19,CUST822,BODYSCRUB,100,Jane Smith,2024-09-19,Amit Patel,Double-booked,0
2024-10-02,CUST618,BODYSCRUB,15,Sofia Chen,2023-12-20,Michael Brown,Rescheduled,287
2024-10-04,CUST959,HAIRCUT,80,Li Wei,2024-10-04,Michael Brown,Client no-show,0
2024-03-30,CUST633,FACIAL,25,Li Wei,2023-11-30,Yuki Tanaka,Client no-show,121
2024-05-19,CUST184,MAKEUP,25,Takeshi Yamada,2023-12-15,Li Wei,Client no-show,156
2024-05-06,CUST024,HAIRCOLOR,30,Jane Smith,2024-05-06,Yuki Tanaka,Client no-show,0
2024-06-04,CUST744,EYEBROWTHREADING,45,Mei Ling,2023-12-20,Amit Patel,Staff unavailable,167
2024-06-24,CUST303,WAXING,35,Jane Smith,2023-11-14,Yuki Tanaka,Emergency closure,223
2024-05-26,CUST054,SKINCARE,60,Kunal Joshi,2023-12-26,Takeshi Yamada,Service issue,152
2024-03-26,CUST757,MASSAGE,25,Mei Ling,2024-03-16,Priya Sharma,Staff unavailable,10
2024-08-23,CUST690,HAIRCUT,35,Ravi Kumar,2024-07-21,Li Wei,Staff unavailable,33
2024-06-25,CUST543,SKINCARE,85,Yuki Tanaka,2024-06-25,Ravi Kumar,Rescheduled,0
2024-09-11,CUST068,HAIRSTYLING,35,Sofia Chen,2024-09-11,Mei Ling,Rescheduled,0
2024-06-16,CUST164,MASSAGE,85,Yuki Tanaka,2024-03-07,Anjali Singh,Emergency closure,101
2024-04-20,CUST231,HAIRCOLOR,120,Li Wei,2024-04-20,Sarah Wilson,Service issue,0
2024-04-14,CUST285,SKINCARE,40,Jane Smith,2024-04-14,Mei Ling,Rescheduled,0
2024-05-06,CUST009,HAIRSTYLING,40,Ravi Kumar,2024-05-06,Michael Brown,Emergency closure,0
2024-08-14,CUST141,MANICURE,80,Priya Sharma,2024-02-25,Kunal Joshi,Emergency closure,171
2024-05-15,CUST945,NAILART,100,Amit Patel,2024-05-15,Anjali Singh,Client canceled,0
2024-03-24,CUST496,BODYSCRUB,80,Michael Brown,2024-03-24,Jane Smith,Service issue,0
2024-08-22,CUST299,MANICURE,85,Ravi Kumar,2024-08-22,Emily Davis,Rescheduled,0
2024-09-14,CUST566,MASSAGE,50,Takeshi Yamada,2024-06-29,Kunal Joshi,Service issue,77
2024-07-05,CUST761,HAIRCOLOR,60,Kunal Joshi,2024-07-05,Li Wei,Staff unavailable,0
2024-10-13,CUST565,EYEBROWTHREADING,50,Michael Brown,2023-10-29,John Doe,Staff unavailable,350
2024-02-25,CUST033,SKINCARE,70,Jane Smith,2024-02-25,Takeshi Yamada,Service issue,0
2024-04-30,CUST062,MAKEUP,50,Anjali Singh,2024-04-20,Takeshi Yamada,Client canceled,10
2024-05-26,CUST866,NAILART,30,Priya Sharma,2024-05-26,Amit Patel,Client canceled,0
2024-03-12,CUST381,MASSAGE,50,Ravi Kumar,2024-03-12,Kunal Joshi,Service issue,0
2024-03-04,CUST837,HAIRCUT,80,Sofia Chen,2024-03-04,Amit Patel,Rescheduled,0
2024-03-23,CUST918,MAKEUP,25,Jane Smith,2024-03-01,John Doe,Double-booked,22
2024-07-03,CUST679,MAKEUP,55,Sarah Wilson,2024-07-03,Li Wei,Client canceled,0
2024-08-29,CUST419,MAKEUP,25,John Doe,2024-08-29,Kunal Joshi,Client no-show,0
2024-05-07,CUST860,PEDICURE,40,Ravi Kumar,2024-03-20,Emily Davis,Staff unavailable,48
2024-09-16,CUST205,MASSAGE,55,Sofia Chen,2024-09-16,Sarah Wilson,Service issue,0
2024-04-29,CUST757,NAILART,45,Kunal Joshi,2024-04-29,Emily Davis,Client no-show,0
2024-04-01,CUST673,BODYSCRUB,60,Amit Patel,2024-03-30,Anjali Singh,Service issue,2
2024-08-27,CUST660,BODYSCRUB,60,Sarah Wilson,2024-08-27,Emily Davis,Emergency closure,0
2024-02-04,CUST698,MASSAGE,30,Yuki Tanaka,2024-02-04,Takeshi Yamada,Staff unavailable,0
2024-04-15,CUST078,HAIRSTYLING,80,Amit Patel,2024-04-15,Anjali Singh,Staff unavailable,0
2024-01-14,CUST552,PEDICURE,40,Yuki Tanaka,2023-11-05,Emily Davis,Client canceled,70
2024-04-17,CUST221,HAIRCUT,120,Jane Smith,2024-04-09,Sarah Wilson,Client canceled,8
2024-05-15,CUST471,MAKEUP,70,John Doe,2024-03-19,Kunal Joshi,Client no-show,57
2024-10-06,CUST849,MAKEUP,60,Ravi Kumar,2024-10-06,Sarah Wilson,Emergency closure,0
2024-09-30,CUST411,MASSAGE,25,Ravi Kumar,2024-03-15,Michael Brown,Service issue,199
2024-05-08,CUST605,HAIRSTYLING,50,Anjali Singh,2024-01-05,John Doe,Emergency closure,124
2024-08-15,CUST330,BODYSCRUB,50,Li Wei,2024-08-15,Sarah Wilson,Staff unavailable,0
2024-07-23,CUST888,BODYSCRUB,45,Anjali Singh,2024-07-23,Anjali Singh,Client no-show,0
2024-07-12,CUST966,HAIRCOLOR,40,Takeshi Yamada,2024-04-09,Sarah Wilson,Double-booked,94
2024-08-22,CUST829,MASSAGE,80,Jane Smith,2024-01-17,Michael Brown,Client no-show,218
2024-07-17,CUST787,PEDICURE,80,Jane Smith,2024-07-17,Amit Patel,Rescheduled,0
2024-08-28,CUST501,FACIAL,100,John Doe,2024-02-09,Anjali Singh,Client no-show,201
2024-10-22,CUST384,PEDICURE,85,Anjali Singh,2024-03-25,Michael Brown,Emergency closure,211
2024-10-17,CUST205,BODYSCRUB,15,Sofia Chen,2024-10-17,Takeshi Yamada,Rescheduled,0
2024-01-02,CUST354,BODYSCRUB,60,Yuki Tanaka,2023-12-25,Ravi Kumar,Rescheduled,8
2024-10-22,CUST498,MANICURE,80,Sofia Chen,2024-10-16,Ravi Kumar,Rescheduled,6
2024-06-11,CUST192,BODYSCRUB,45,John Doe,2024-04-30,Jane Smith,Double-booked,42
2024-06-24,CUST167,HAIRCUT,25,Priya Sharma,2024-01-02,Emily Davis,Client no-show,174
2024-09-02,CUST347,WAXING,40,Li Wei,2024-09-02,John Doe,Emergency closure,0
2024-08-01,CUST906,MASSAGE,70,Sofia Chen,2024-08-01,Sofia Chen,Client no-show,0
2024-07-29,CUST530,SKINCARE,100,Mei Ling,2024-07-29,Mei Ling,Double-booked,0
2024-10-07,CUST803,PEDICURE,45,Takeshi Yamada,2024-10-07,Michael Brown,Staff unavailable,0
2024-08-25,CUST565,WAXING,35,Michael Brown,2024-08-25,Amit Patel,Client canceled,0
2024-10-14,CUST675,HAIRSTYLING,30,John Doe,2023-11-20,Mei Ling,Emergency closure,329
2024-04-03,CUST167,FACIAL,70,John Doe,2024-04-03,Amit Patel,Emergency closure,0
2024-08-24,CUST160,HAIRCUT,85,Emily Davis,2024-08-24,Takeshi Yamada,Client no-show,0
2024-05-15,CUST486,NAILART,35,Yuki Tanaka,2024-05-15,Priya Sharma,Client canceled,0
2024-09-04,CUST001,SPATREATMENT,120,Takeshi Yamada,2024-09-04,Priya Sharma,Service issue,0
2024-07-07,CUST261,PEDICURE,85,Sarah Wilson,2024-02-03,Priya Sharma,Service issue,155
2024-01-25,CUST654,WAXING,50,Sarah Wilson,2023-11-09,Mei Ling,Double-booked,77
2024-05-30,CUST226,NAILART,30,Mei Ling,2024-05-30,Yuki Tanaka,Service issue,0
2024-08-06,CUST156,FACIAL,60,Anjali Singh,2024-08-06,Michael Brown,Emergency closure,0
2024-09-11,CUST227,MANICURE,25,Takeshi Yamada,2024-04-15,Sofia Chen,Service issue,149
2024-06-03,CUST621,NAILART,30,Priya Sharma,2024-06-03,Mei Ling,Staff unavailable,0
2024-09-22,CUST611,HAIRCUT,85,Jane Smith,2024-03-18,Michael Brown,Staff unavailable,188
2024-10-16,CUST125,HAIRCUT,15,Jane Smith,2024-10-16,Sarah Wilson,Staff unavailable,0
2024-09-16,CUST954,SKINCARE,35,Amit Patel,2023-11-16,Takeshi Yamada,Service issue,305
2024-06-13,CUST559,MANICURE,60,Yuki Tanaka,2024-06-13,Sofia Chen,Double-booked,0
2024-06-11,CUST266,SPATREATMENT,55,Mei Ling,2024-06-11,Priya Sharma,Rescheduled,0
2024-06-22,CUST792,MASSAGE,15,John Doe,2023-12-13,Anjali Singh,Rescheduled,192
2024-05-18,CUST979,NAILART,50,Mei Ling,2024-03-31,Takeshi Yamada,Client canceled,48
2024-07-19,CUST475,MANICURE,15,Mei Ling,2024-02-05,Amit Patel,Rescheduled,165
2024-02-14,CUST837,HAIRCUT,100,Kunal Joshi,2024-01-03,Priya Sharma,Rescheduled,42
2024-08-22,CUST178,HAIRCUT,100,Mei Ling,2024-08-22,Ravi Kumar,Staff unavailable,0
2024-09-02,CUST207,WAXING,120,Sarah Wilson,2024-09-02,Emily Davis,Staff unavailable,0
2024-03-24,CUST640,BODYSCRUB,85,Kunal Joshi,2024-03-24,Ravi Kumar,Service issue,0
2024-04-24,CUST342,SPATREATMENT,40,Yuki Tanaka,2023-11-18,Priya Sharma,Client canceled,158
2024-06-07,CUST005,NAILART,70,Mei Ling,2023-11-12,Takeshi Yamada,Client no-show,208
2024-09-15,CUST144,SKINCARE,70,Li Wei,2024-09-15,Sofia Chen,Emergency closure,0
2024-02-14,CUST658,SKINCARE,55,Michael Brown,2024-02-14,Anjali Singh,Client canceled,0
2024-08-05,CUST976,NAILART,55,Jane Smith,2024-03-07,Amit Patel,Client canceled,151
2024-08-08,CUST976,MAKEUP,60,Kunal Joshi,2024-08-08,Yuki Tanaka,Double-booked,0
2024-10-04,CUST064,FACIAL,50,Amit Patel,2024-10-04,Anjali Singh,Service issue,0
2024-06-03,CUST486,SKINCARE,80,Takeshi Yamada,2024-02-26,Mei Ling,Double-booked,98
2024-10-02,CUST324,MANICURE,120,Michael Brown,2024-10-02,Kunal Joshi,Client canceled,0
2024-06-24,CUST637,FACIAL,100,Amit Patel,2024-06-23,Amit Patel,Client canceled,1
2024-09-27,CUST704,MANICURE,60,Emily Davis,2024-09-27,Priya Sharma,Client canceled,0
2024-07-13,CUST193,HAIRSTYLING,80,Amit Patel,2024-07-13,Mei Ling,Rescheduled,0
2024-01-06,CUST343,HAIRCUT,70,Jane Smith,2023-11-24,Kunal Joshi,Emergency closure,43
2024-06-10,CUST644,BODYSCRUB,40,Jane Smith,2023-12-16,Michael Brown,Emergency closure,177
2024-10-01,CUST688,WAXING,15,Kunal Joshi,2024-10-01,Sofia Chen,Double-booked,0
2024-10-11,CUST863,SKINCARE,100,Mei Ling,2024-10-11,Li Wei,Client canceled,0
2024-04-27,CUST948,BODYSCRUB,60,Ravi Kumar,2024-01-06,Michael Brown,Emergency closure,112
2024-04-02,CUST316,BODYSCRUB,30,Emily Davis,2023-12-28,Jane Smith,Staff unavailable,96
2024-08-25,CUST170,BODYSCRUB,80,Kunal Joshi,2024-04-25,Anjali Singh,Emergency closure,122
2023-12-31,CUST797,MAKEUP,15,Li Wei,2023-12-31,Li Wei,Service issue,0
2024-01-16,CUST203,FACIAL,100,John Doe,2023-11-01,Mei Ling,Service issue,76
2024-09-15,CUST064,MANICURE,70,Sofia Chen,2024-02-06,Sarah Wilson,Emergency closure,222
2024-08-12,CUST666,EYEBROWTHREADING,45,Takeshi Yamada,2024-08-12,Michael Brown,Staff unavailable,0
2024-07-01,CUST985,HAIRSTYLING,50,Amit Patel,2024-07-01,Jane Smith,Service issue,0
2024-04-21,CUST459,PEDICURE,80,Ravi Kumar,2024-04-21,John Doe,Rescheduled,0
2024-10-04,CUST959,BODYSCRUB,70,Mei Ling,2024-06-03,Li Wei,Emergency closure,123
2024-06-06,CUST919,MASSAGE,100,Sarah Wilson,2024-05-12,Ravi Kumar,Rescheduled,25
2024-03-30,CUST325,FACIAL,80,Yuki Tanaka,2024-01-16,Amit Patel,Emergency closure,74
2024-06-02,CUST522,SKINCARE,120,John Doe,2024-06-02,Yuki Tanaka,Client no-show,0
2024-09-23,CUST626,SPATREATMENT,15,Priya Sharma,2024-03-31,Yuki Tanaka,Client no-show,176
2024-01-10,CUST648,SKINCARE,100,Anjali Singh,2024-01-10,Jane Smith,Client no-show,0
2024-08-31,CUST452,WAXING,120,Ravi Kumar,2024-08-31,Sofia Chen,Service issue,0
2024-09-10,CUST685,PEDICURE,35,Yuki Tanaka,2023-11-03,Li Wei,Rescheduled,312
2023-11-04,CUST249,EYEBROWTHREADING,60,Sarah Wilson,2023-11-04,Michael Brown,Rescheduled,0
2024-08-16,CUST067,MASSAGE,45,Emily Davis,2024-08-16,Sofia Chen,Rescheduled,0
2024-03-03,CUST655,SKINCARE,55,Priya Sharma,2024-03-03,Yuki Tanaka,Staff unavailable,0
2024-09-26,CUST432,EYEBROWTHREADING,15,Kunal Joshi,2024-09-26,Ravi Kumar,Rescheduled,0
2024-02-05,CUST295,PEDICURE,80,Mei Ling,2024-02-05,Sarah Wilson,Staff unavailable,0
2024-03-04,CUST327,BODYSCRUB,50,John Doe,2024-03-04,Anjali Singh,Client no-show,0
2024-08-26,CUST887,MASSAGE,70,John Doe,2024-05-03,Anjali Singh,Client no-show,115
2024-07-15,CUST209,EYEBROWTHREADING,55,John Doe,2024-04-15,Priya Sharma,Service issue,91
2024-08-22,CUST336,WAXING,30,Emily Davis,2024-08-22,Sofia Chen,Emergency closure,0
2024-09-16,CUST407,MANICURE,70,Priya Sharma,2024-02-26,Takeshi Yamada,Client no-show,203
2024-08-05,CUST512,HAIRCUT,80,Amit Patel,2024-03-22,Mei Ling,Emergency closure,136
2024-08-19,CUST210,MANICURE,45,Anjali Singh,2023-12-14,Sarah Wilson,Emergency closure,249
2024-10-11,CUST262,PEDICURE,85,Li Wei,2024-10-11,Anjali Singh,Service issue,0
2024-10-07,CUST211,FACIAL,70,Emily Davis,2024-10-07,Sarah Wilson,Client canceled,0
2024-09-07,CUST203,HAIRCUT,85,Sofia Chen,2024-09-07,Jane Smith,Client canceled,0
2024-09-22,CUST421,HAIRSTYLING,60,Takeshi Yamada,2024-09-22,Sarah Wilson,Double-booked,0
2024-10-17,CUST105,WAXING,45,Takeshi Yamada,2024-08-28,Emily Davis,Service issue,50
2024-03-12,CUST811,HAIRSTYLING,100,Anjali Singh,2024-03-12,Ravi Kumar,Double-booked,0
2024-04-21,CUST720,MAKEUP,120,Jane Smith,2023-12-11,Anjali Singh,Double-booked,132
2024-05-30,CUST677,MASSAGE,30,Takeshi Yamada,2024-05-17,Sarah Wilson,Client canceled,13
2024-03-17,CUST372,NAILART,25,Mei Ling,2023-11-26,Sofia Chen,Service issue,112
2024-01-21,CUST383,HAIRCUT,80,Emily Davis,2023-12-13,John Doe,Client canceled,39
2024-07-16,CUST413,HAIRSTYLING,40,Sarah Wilson,2024-07-16,Emily Davis,Double-booked,0
2024-05-14,CUST758,SKINCARE,25,Anjali Singh,2024-05-14,Emily Davis,Service issue,0
2024-02-24,CUST720,HAIRSTYLING,70,Sofia Chen,2024-02-24,Mei Ling,Double-booked,0
2024-03-13,CUST046,EYEBROWTHREADING,55,Jane Smith,2023-12-24,Sarah Wilson,Rescheduled,80
2024-10-22,CUST687,MANICURE,80,Amit Patel,2024-10-22,Priya Sharma,Emergency closure,0
2024-08-16,CUST700,EYEBROWTHREADING,120,Priya Sharma,2024-06-20,Mei Ling,Service issue,57
2024-09-10,CUST135,MAKEUP,35,Sarah Wilson,2024-09-10,Kunal Joshi,Service issue,0
2024-09-26,CUST106,HAIRCUT,120,Kunal Joshi,2023-12-23,Mei Ling,Emergency closure,278
2024-01-17,CUST623,HAIRCUT,40,Anjali Singh,2023-10-27,John Doe,Double-booked,82
2024-07-22,CUST174,MAKEUP,30,Mei Ling,2024-07-22,Jane Smith,Rescheduled,0
2024-06-27,CUST596,PEDICURE,120,Priya Sharma,2024-06-27,Sarah Wilson,Staff unavailable,0
2024-02-02,CUST579,EYEBROWTHREADING,50,Sarah Wilson,2024-02-02,Michael Brown,Emergency closure,0
2023-12-06,CUST011,HAIRCOLOR,35,Jane Smith,2023-10-31,Yuki Tanaka,Client canceled,36
2023-12-25,CUST874,SKINCARE,25,Sarah Wilson,2023-12-25,Anjali Singh,Double-booked,0
2024-04-02,CUST720,SPATREATMENT,100,Yuki Tanaka,2024-04-02,Mei Ling,Emergency closure,0
2024-04-03,CUST836,MANICURE,60,Priya Sharma,2024-04-03,Ravi Kumar,Emergency closure,0
2024-07-10,CUST548,HAIRCUT,50,Michael Brown,2024-07-10,Amit Patel,Service issue,0
2024-05-01,CUST362,PEDICURE,35,Yuki Tanaka,2024-05-01,Ravi Kumar,Client canceled,0
2024-06-09,CUST108,NAILART,100,Li Wei,2024-01-03,John Doe,Client canceled,158
2024-06-23,CUST190,SKINCARE,100,Ravi Kumar,2024-02-04,John Doe,Client canceled,140
2024-06-07,CUST061,EYEBROWTHREADING,80,Amit Patel,2024-02-28,Sofia Chen,Emergency closure,100
2023-12-12,CUST082,MANICURE,35,Takeshi Yamada,2023-12-12,Kunal Joshi,Staff unavailable,0
2024-04-17,CUST648,NAILART,30,Jane Smith,2023-11-28,Kunal Joshi,Client no-show,141
2024-04-28,CUST648,EYEBROWTHREADING,70,Priya Sharma,2024-04-28,Jane Smith,Double-booked,0
2024-04-09,CUST983,HAIRSTYLING,40,Li Wei,2024-04-09,Priya Sharma,Client no-show,0
2024-06-12,CUST597,NAILART,40,Li Wei,2024-06-12,Anjali Singh,Emergency closure,0
2024-07-05,CUST892,MAKEUP,25,Kunal Joshi,2024-07-05,Li Wei,Client no-show,0
2024-10-20,CUST472,PEDICURE,25,Sarah Wilson,2024-10-20,Mei Ling,Emergency closure,0
2024-09-15,CUST320,MANICURE,40,Ravi Kumar,2024-07-14,Ravi Kumar,Client no-show,63
2024-03-03,CUST986,BODYSCRUB,120,Li Wei,2023-12-14,Amit Patel,Client canceled,80
2024-05-19,CUST647,MASSAGE,30,Ravi Kumar,2024-05-19,John Doe,Rescheduled,0
2024-07-23,CUST873,MASSAGE,85,Yuki Tanaka,2024-05-30,John Doe,Client canceled,54
2024-04-03,CUST410,MANICURE,120,Sarah Wilson,2024-03-15,Jane Smith,Client canceled,19
2024-07-13,CUST322,NAILART,55,Priya Sharma,2024-06-03,Amit Patel,Service issue,40
2024-05-22,CUST605,EYEBROWTHREADING,120,Yuki Tanaka,2024-05-22,Takeshi Yamada,Service issue,0
2024-08-02,CUST957,PEDICURE,60,Mei Ling,2024-08-02,Amit Patel,Client no-show,0
2024-09-25,CUST156,SPATREATMENT,15,Michael Brown,2024-09-25,Jane Smith,Emergency closure,0
2024-03-17,CUST081,MASSAGE,70,Li Wei,2023-12-26,John Doe,Client canceled,82
2024-08-14,CUST810,PEDICURE,60,Emily Davis,2024-08-14,Anjali Singh,Client no-show,0
2024-10-15,CUST124,MASSAGE,80,Yuki Tanaka,2024-10-15,Sarah Wilson,Service issue,0
2024-09-24,CUST426,HAIRSTYLING,15,Michael Brown,2024-09-24,Sarah Wilson,Rescheduled,0
2024-07-19,CUST160,EYEBROWTHREADING,15,Sarah Wilson,2024-06-23,Jane Smith,Double-booked,26
2024-06-13,CUST544,HAIRSTYLING,35,Kunal Joshi,2024-01-08,Amit Patel,Client no-show,157
2024-08-24,CUST220,SKINCARE,30,Amit Patel,2024-08-24,Mei Ling,Rescheduled,0
2024-05-22,CUST740,MASSAGE,30,Emily Davis,2024-05-22,Jane Smith,Double-booked,0
2024-08-28,CUST820,BODYSCRUB,15,Jane Smith,2024-01-11,Anjali Singh,Staff unavailable,230
2024-08-19,CUST064,BODYSCRUB,55,Takeshi Yamada,2024-08-19,Jane Smith,Client no-show,0
2024-04-06,CUST826,HAIRSTYLING,120,Kunal Joshi,2024-04-06,Emily Davis,Client no-show,0
2024-01-15,CUST178,MAKEUP,35,Michael Brown,2024-01-06,Kunal Joshi,Staff unavailable,9
2024-05-18,CUST191,BODYSCRUB,70,Sarah Wilson,2024-04-28,Ravi Kumar,Staff unavailable,20
2024-09-27,CUST091,MASSAGE,15,Michael Brown,2024-09-27,Amit Patel,Client no-show,0
2024-03-23,CUST720,MANICURE,50,Takeshi Yamada,2023-11-28,Priya Sharma,Staff unavailable,116
2024-02-02,CUST766,HAIRSTYLING,25,Li Wei,2023-12-25,Sofia Chen,Client canceled,39
2024-03-19,CUST445,SKINCARE,25,Kunal Joshi,2023-11-15,Yuki Tanaka,Double-booked,125
2024-10-23,CUST938,SPATREATMENT,60,Yuki Tanaka,2024-01-04,Sofia Chen,Double-booked,293
2024-04-02,CUST474,SPATREATMENT,80,Priya Sharma,2024-04-02,Amit Patel,Double-booked,0
2024-10-21,CUST465,FACIAL,45,Emily Davis,2024-03-25,Priya Sharma,Client canceled,210
2024-09-14,CUST973,NAILART,45,Sofia Chen,2024-04-07,Li Wei,Emergency closure,160
2024-09-16,CUST155,EYEBROWTHREADING,25,Anjali Singh,2024-03-19,Anjali Singh,Staff unavailable,181
2024-07-02,CUST077,BODYSCRUB,85,Michael Brown,2024-01-16,Emily Davis,Rescheduled,168
2024-06-17,CUST089,BODYSCRUB,100,Takeshi Yamada,2024-06-17,Emily Davis,Staff unavailable,0
2024-10-21,CUST892,NAILART,60,Jane Smith,2024-10-21,Yuki Tanaka,Client no-show,0
2024-07-02,CUST318,HAIRCUT,45,Jane Smith,2024-07-02,John Doe,Service issue,0
2024-09-12,CUST583,SKINCARE,25,John Doe,2024-01-01,Ravi Kumar,Double-booked,255
2024-05-27,CUST840,HAIRCOLOR,80,Kunal Joshi,2024-05-27,Sarah Wilson,Staff unavailable,0
2024-10-05,CUST496,HAIRSTYLING,45,Michael Brown,2024-10-05,Michael Brown,Rescheduled,0
2024-05-03,CUST200,MAKEUP,120,Anjali Singh,2023-11-06,Anjali Singh,Client no-show,179
2024-03-11,CUST615,SKINCARE,120,Mei Ling,2024-03-11,Yuki Tanaka,Client canceled,0
2024-07-11,CUST196,WAXING,30,Takeshi Yamada,2023-11-09,Michael Brown,Emergency closure,245
2024-03-04,CUST785,BODYSCRUB,55,Li Wei,2024-03-04,Takeshi Yamada,Client canceled,0
2024-07-13,CUST208,EYEBROWTHREADING,30,Ravi Kumar,2024-07-13,Michael Brown,Rescheduled,0
2024-08-05,CUST861,FACIAL,70,Yuki Tanaka,2024-06-07,Amit Patel,Client no-show,59
2024-10-07,CUST336,SPATREATMENT,15,Priya Sharma,2024-04-06,Yuki Tanaka,Double-booked,184
2024-09-30,CUST927,BODYSCRUB,50,Anjali Singh,2024-07-19,Sofia Chen,Staff unavailable,73
2024-04-10,CUST619,FACIAL,30,Ravi Kumar,2023-11-30,Sofia Chen,Client no-show,132
2023-11-11,CUST823,MASSAGE,45,Kunal Joshi,2023-10-28,Sarah Wilson,Emergency closure,14
2024-07-30,CUST774,SKINCARE,85,Yuki Tanaka,2024-02-18,Yuki Tanaka,Client canceled,163
2024-08-15,CUST489,MASSAGE,35,Ravi Kumar,2024-01-10,Amit Patel,Emergency closure,218
2024-07-16,CUST383,HAIRCOLOR,25,Yuki Tanaka,2024-07-16,Michael Brown,Emergency closure,0
2024-10-02,CUST902,MANICURE,35,Sofia Chen,2023-12-24,Priya Sharma,Rescheduled,283
2024-07-10,CUST563,WAXING,80,John Doe,2024-01-24,Takeshi Yamada,Rescheduled,168
2024-04-13,CUST150,SKINCARE,30,Anjali Singh,2024-04-13,Li Wei,Staff unavailable,0
2024-09-17,CUST466,HAIRCUT,50,Kunal Joshi,2024-03-04,Kunal Joshi,Rescheduled,197
2024-10-04,CUST711,HAIRCOLOR,80,Anjali Singh,2024-10-04,Mei Ling,Rescheduled,0
2024-08-06,CUST150,PEDICURE,100,Sofia Chen,2024-08-06,Sofia Chen,Client no-show,0
2024-07-31,CUST903,HAIRCUT,100,Michael Brown,2024-05-10,Anjali Singh,Double-booked,82
2024-06-28,CUST041,HAIRSTYLING,35,Michael Brown,2024-06-28,Priya Sharma,Staff unavailable,0
2024-08-04,CUST091,EYEBROWTHREADING,15,Michael Brown,2024-08-04,Anjali Singh,Client no-show,0
2024-07-29,CUST218,SKINCARE,60,Amit Patel,2024-07-29,John Doe,Double-booked,0
2024-08-27,CUST040,PEDICURE,15,Ravi Kumar,2024-08-27,Yuki Tanaka,Emergency closure,0
2024-10-13,CUST801,PEDICURE,45,Amit Patel,2024-01-18,Jane Smith,Client no-show,269
2024-09-15,CUST434,HAIRCOLOR,120,John Doe,2024-05-24,Mei Ling,Service issue,114
2024-09-12,CUST167,NAILART,70,Priya Sharma,2023-12-13,Sofia Chen,Client no-show,274
2024-07-10,CUST458,MANICURE,15,Sofia Chen,2024-07-10,Takeshi Yamada,Rescheduled,0
2024-09-27,CUST655,SKINCARE,55,Kunal Joshi,2024-09-27,Emily Davis,Double-booked,0
2024-05-11,CUST347,NAILART,70,Anjali Singh,2024-01-18,Sofia Chen,Staff unavailable,114
2024-07-07,CUST512,HAIRCOLOR,70,Yuki Tanaka,2024-07-07,Priya Sharma,Staff unavailable,0
2024-02-16,CUST993,HAIRSTYLING,50,Li Wei,2023-11-10,John Doe,Double-booked,98
2024-06-19,CUST224,SPATREATMENT,30,Kunal Joshi,2023-12-10,Anjali Singh,Rescheduled,192
2024-09-15,CUST640,BODYSCRUB,50,Ravi Kumar,2024-04-29,Michael Brown,Client canceled,139
2023-12-04,CUST510,BODYSCRUB,70,Amit Patel,2023-10-27,Emily Davis,Client no-show,38
